FCH4_weekly,GPP,PA,TS,TA,P,WS,SWC
9.418681155,0.441997596,101530.2422,269.5950317,265.5075378,0.578535837,5.045425415,0.563899338
2.257460203,0.436326923,100256.6641,270.7723999,266.7533569,2.394441981,5.280068874,0.564082086
-2.286004217,0.494115385,100677.4141,270.3037415,261.6880493,1.376683242,8.839488983,0.564024568
0.241835508,0.545394231,100393.2734,269.825592,254.2527313,1.54792238,6.769583702,0.563949466
6.702219846,0.562122596,100561.1328,270.3126831,264.1508179,0.400524907,3.703192234,0.563899219
-0.176552527,0.764019231,100769.875,270.4064941,260.2823792,1.525670988,7.56821394,0.563749015
6.101774112,1.227302885,101157.6641,270.3833313,257.3511353,2.093564719,5.760170937,0.563550293
-3.160444612,0.317538462,101384.4609,270.532135,259.6160889,0.194699562,5.540003777,0.563299656
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0.857423077,89719.85156,274.1347656,272.5788269,39.09901157,1.251306534,0.405131072
,0.963192308,90267.17969,274.4187012,273.26651,19.76356469,1.663986802,0.404355466
,0.894692308,89839.76563,274.5405884,272.6782227,18.59423704,1.595563293,0.392526329
,1.004230769,91293.04688,274.5469055,273.0664368,9.57187824,0.920974851,0.381185621
,0.839807692,89497.95313,274.4081726,271.902832,11.03513595,1.337054491,0.380986065
,0.740016484,89844.71094,273.343811,263.6004944,1.579871168,1.662281871,0.367650777
,0.773614011,89242.82031,273.0423889,267.7549744,7.492008153,1.331371427,0.352586269
,0.903038462,90116.77344,273.0652771,268.1252747,3.781147534,1.13028872,0.343267769
,1.02982967,90386.125,272.8632507,266.1026917,0.899360399,1.579579473,0.335943878
,1.240211538,90065.22656,272.7115173,267.7203369,2.972841496,1.141303182,0.330753148
,1.720335165,90854.625,272.8697205,273.5690002,6.5559051,1.126866579,0.340236992
,1.810681319,90551.10938,273.092041,277.131897,2.56389589,1.327522993,0.418722779
,1.995979396,90733.27344,273.2187805,275.2227783,6.832262967,1.350064158,0.419727117
,2.068703297,89844,273.3151245,275.9697876,19.3019025,1.507861972,0.425646752
,2.404010989,90201.36719,273.3869934,274.1160583,9.191686288,1.098252296,0.418172538
,3.213324176,90537.42969,273.433075,275.9042358,14.68369644,1.304470301,0.41632238
,4.046332418,90824.80469,273.4544373,275.2812195,3.837058088,1.455558777,0.416182071
,4.435815934,90429.54688,273.442749,276.8467102,1.199679566,1.452488899,0.415947497
,4.637182692,90489,275.1964722,281.7272339,0.015974429,1.562015891,0.416294008
,5.414615385,89760.92188,276.4320679,280.4234924,5.929708481,1.351313233,0.410982162
,6.128471154,90127.72656,279.0574036,282.056427,5.023958627,1.187761188,0.409825861
,6.047623626,90510.22656,284.4555359,286.2622375,0.27316279,1.342157245,0.363683194
,6.437773352,90825.52344,281.0710449,280.5022888,5.686896853,1.291765094,0.369285554
,6.613093407,90738.61719,286.9208679,287.5339966,0.073482384,1.398929238,0.325033158
,6.275450549,90778.25781,284.1229858,283.4736938,2.977633849,1.445609212,0.318992525
,5.693645604,90553.83594,283.7082214,283.6697388,6.466449238,1.190523386,0.363157213
,5.228168956,90641.67188,284.9738159,284.9132996,4.597440828,1.118486047,0.366340786
,5.706967033,90677.54688,285.578125,285.6065063,9.878586046,1.360714793,0.383527547
,6.345322802,90548.95313,285.0793152,285.0249329,8.424914442,1.504615068,0.383656979
,5.920401099,90946.82031,286.7676392,286.6831055,5.1565459,1.529140472,0.362829924
,5.494949176,90696.625,287.2728882,287.455719,8.022358641,1.348229647,0.364792019
,5.180752747,90569.46094,289.1812744,289.1884766,2.02236278,1.293765306,0.338856071
,4.874711538,90740.10938,286.7645264,286.6782837,1.515973476,1.219724894,0.341765732
,4.581384615,90598.83594,285.7933044,285.8032227,3.444086993,1.204107285,0.359579563
,4.291928571,90633.60156,288.0769958,288.6131897,1.238018274,1.198607326,0.328866273
,3.389351648,90596.28906,287.4366455,287.4638977,3.889773507,1.073715568,0.342513025
,2.943813187,90362.10938,283.6954346,283.2416077,32.60700777,1.050162196,0.411364615
,2.760758242,90290.61719,282.8295593,282.485321,14.37379234,1.193229675,0.400927275
,2.431368132,90414.70313,280.4648132,279.6909485,11.93928905,1.191173911,0.402400911
,2.175120879,90766.14063,279.1293945,278.7696838,5.856225733,1.118993878,0.388382643
,1.810197802,90613.21094,277.687561,277.545166,6.020762026,1.132056952,0.386787087
,1.41442033,89776.22656,277.2174377,276.7351074,30.98081052,1.5618155,0.418556631
,1.622759615,91245.85156,277.3244324,277.2177429,8.392965421,1.187875628,0.40177387
,1.507461538,91269.60938,274.7444763,275.6978455,0.017571872,0.96602571,0.36719656
,1.122144231,91035.10156,277.3053894,278.0598755,1.135781989,1.115102172,0.355834156
